"disease","year","age","country","country_name","run_number","cohort_size","deaths","cases","deaths_mening","deaths_pneumo","cases_mening","cases_pneumo"
"Hib",2020,4,"IND","India","","","","","","","",""
"Hib",2021,4,"IND","India","","","","","","","",""
"Hib",2022,4,"IND","India","","","","","","","",""
"Hib",2023,4,"IND","India","","","","","","","",""
"Hib",2024,4,"IND","India","","","","","","","",""
"Hib",2025,4,"IND","India","","","","","","","",""
"Hib",2026,4,"IND","India","","","","","","","",""
"Hib",2027,4,"IND","India","","","","","","","",""
"Hib",2028,4,"IND","India","","","","","","","",""
"Hib",2029,4,"IND","India","","","","","","","",""
"Hib",2030,4,"IND","India","","","","","","","",""
"Hib",2031,4,"IND","India","","","","","","","",""
"Hib",2032,4,"IND","India","","","","","","","",""
"Hib",2033,4,"IND","India","","","","","","","",""
"Hib",2034,4,"IND","India","","","","","","","",""
"Hib",2000,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2020,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2021,0,"ETH","Ethiopia","","","","","","","",""
