"disease","run_id","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"PCV",12,2007,0,"PAK","Pakistan","","","",""
"PCV",13,2007,0,"PAK","Pakistan","","","",""
"PCV",14,2007,0,"PAK","Pakistan","","","",""
"PCV",15,2007,0,"PAK","Pakistan","","","",""
"PCV",16,2007,0,"PAK","Pakistan","","","",""
"PCV",17,2007,0,"PAK","Pakistan","","","",""
"PCV",18,2007,0,"PAK","Pakistan","","","",""
"PCV",19,2007,0,"PAK","Pakistan","","","",""
"PCV",20,2007,0,"PAK","Pakistan","","","",""
"PCV",1,2008,0,"PAK","Pakistan","","","",""
"PCV",2,2008,0,"PAK","Pakistan","","","",""
"PCV",3,2008,0,"PAK","Pakistan","","","",""
"PCV",4,2008,0,"PAK","Pakistan","","","",""
"PCV",5,2008,0,"PAK","Pakistan","","","",""
"PCV",6,2008,0,"PAK","Pakistan","","","",""
"PCV",7,2008,0,"PAK","Pakistan","","","",""
"PCV",8,2008,0,"PAK","Pakistan","","","",""
"PCV",9,2008,0,"PAK","Pakistan","","","",""
"PCV",10,2008,0,"PAK","Pakistan","","","",""
"PCV",11,2008,0,"PAK","Pakistan","","","",""
"PCV",12,2008,0,"PAK","Pakistan","","","",""
"PCV",13,2008,0,"PAK","Pakistan","","","",""
"PCV",14,2008,0,"PAK","Pakistan","","","",""
"PCV",15,2008,0,"PAK","Pakistan","","","",""
"PCV",16,2008,0,"PAK","Pakistan","","","",""
"PCV",17,2008,0,"PAK","Pakistan","","","",""
"PCV",18,2008,0,"PAK","Pakistan","","","",""
"PCV",19,2008,0,"PAK","Pakistan","","","",""
"PCV",20,2008,0,"PAK","Pakistan","","","",""
"PCV",1,2009,0,"PAK","Pakistan","","","",""
"PCV",2,2009,0,"PAK","Pakistan","","","",""
"PCV",3,2009,0,"PAK","Pakistan","","","",""
"PCV",4,2009,0,"PAK","Pakistan","","","",""
"PCV",5,2009,0,"PAK","Pakistan","","","",""
"PCV",6,2009,0,"PAK","Pakistan","","","",""
"PCV",7,2009,0,"PAK","Pakistan","","","",""
"PCV",8,2009,0,"PAK","Pakistan","","","",""
"PCV",9,2009,0,"PAK","Pakistan","","","",""
"PCV",10,2009,0,"PAK","Pakistan","","","",""
"PCV",11,2009,0,"PAK","Pakistan","","","",""
"PCV",12,2009,0,"PAK","Pakistan","","","",""
"PCV",13,2009,0,"PAK","Pakistan","","","",""
"PCV",14,2009,0,"PAK","Pakistan","","","",""
"PCV",15,2009,0,"PAK","Pakistan","","","",""
"PCV",16,2009,0,"PAK","Pakistan","","","",""
"PCV",17,2009,0,"PAK","Pakistan","","","",""
"PCV",18,2009,0,"PAK","Pakistan","","","",""
"PCV",19,2009,0,"PAK","Pakistan","","","",""
"PCV",20,2009,0,"PAK","Pakistan","","","",""
"PCV",1,2010,0,"PAK","Pakistan","","","",""
"PCV",2,2010,0,"PAK","Pakistan","","","",""
"PCV",3,2010,0,"PAK","Pakistan","","","",""
"PCV",4,2010,0,"PAK","Pakistan","","","",""
"PCV",5,2010,0,"PAK","Pakistan","","","",""
"PCV",6,2010,0,"PAK","Pakistan","","","",""
"PCV",7,2010,0,"PAK","Pakistan","","","",""
"PCV",8,2010,0,"PAK","Pakistan","","","",""
"PCV",9,2010,0,"PAK","Pakistan","","","",""
"PCV",10,2010,0,"PAK","Pakistan","","","",""
"PCV",11,2010,0,"PAK","Pakistan","","","",""
"PCV",12,2010,0,"PAK","Pakistan","","","",""
"PCV",13,2010,0,"PAK","Pakistan","","","",""
"PCV",14,2010,0,"PAK","Pakistan","","","",""
"PCV",15,2010,0,"PAK","Pakistan","","","",""
"PCV",16,2010,0,"PAK","Pakistan","","","",""
"PCV",17,2010,0,"PAK","Pakistan","","","",""
"PCV",18,2010,0,"PAK","Pakistan","","","",""
"PCV",19,2010,0,"PAK","Pakistan","","","",""
"PCV",20,2010,0,"PAK","Pakistan","","","",""
"PCV",1,2011,0,"PAK","Pakistan","","","",""
"PCV",2,2011,0,"PAK","Pakistan","","","",""
"PCV",3,2011,0,"PAK","Pakistan","","","",""
"PCV",4,2011,0,"PAK","Pakistan","","","",""
"PCV",5,2011,0,"PAK","Pakistan","","","",""
"PCV",6,2011,0,"PAK","Pakistan","","","",""
"PCV",7,2011,0,"PAK","Pakistan","","","",""
"PCV",8,2011,0,"PAK","Pakistan","","","",""
"PCV",9,2011,0,"PAK","Pakistan","","","",""
"PCV",10,2011,0,"PAK","Pakistan","","","",""
"PCV",11,2011,0,"PAK","Pakistan","","","",""
"PCV",12,2011,0,"PAK","Pakistan","","","",""
"PCV",13,2011,0,"PAK","Pakistan","","","",""
"PCV",14,2011,0,"PAK","Pakistan","","","",""
"PCV",15,2011,0,"PAK","Pakistan","","","",""
"PCV",16,2011,0,"PAK","Pakistan","","","",""
"PCV",17,2011,0,"PAK","Pakistan","","","",""
"PCV",18,2011,0,"PAK","Pakistan","","","",""
"PCV",19,2011,0,"PAK","Pakistan","","","",""
"PCV",20,2011,0,"PAK","Pakistan","","","",""
"PCV",1,2012,0,"PAK","Pakistan","","","",""
"PCV",2,2012,0,"PAK","Pakistan","","","",""
"PCV",3,2012,0,"PAK","Pakistan","","","",""
"PCV",4,2012,0,"PAK","Pakistan","","","",""
"PCV",5,2012,0,"PAK","Pakistan","","","",""
"PCV",6,2012,0,"PAK","Pakistan","","","",""
"PCV",7,2012,0,"PAK","Pakistan","","","",""
"PCV",8,2012,0,"PAK","Pakistan","","","",""
"PCV",9,2012,0,"PAK","Pakistan","","","",""
"PCV",10,2012,0,"PAK","Pakistan","","","",""
"PCV",11,2012,0,"PAK","Pakistan","","","",""
"PCV",12,2012,0,"PAK","Pakistan","","","",""
"PCV",13,2012,0,"PAK","Pakistan","","","",""
"PCV",14,2012,0,"PAK","Pakistan","","","",""
"PCV",15,2012,0,"PAK","Pakistan","","","",""
"PCV",16,2012,0,"PAK","Pakistan","","","",""
"PCV",17,2012,0,"PAK","Pakistan","","","",""
"PCV",18,2012,0,"PAK","Pakistan","","","",""
"PCV",19,2012,0,"PAK","Pakistan","","","",""
"PCV",20,2012,0,"PAK","Pakistan","","","",""
"PCV",1,2013,0,"PAK","Pakistan","","","",""
"PCV",2,2013,0,"PAK","Pakistan","","","",""
"PCV",3,2013,0,"PAK","Pakistan","","","",""
"PCV",4,2013,0,"PAK","Pakistan","","","",""
"PCV",5,2013,0,"PAK","Pakistan","","","",""
"PCV",6,2013,0,"PAK","Pakistan","","","",""
"PCV",7,2013,0,"PAK","Pakistan","","","",""
"PCV",8,2013,0,"PAK","Pakistan","","","",""
"PCV",9,2013,0,"PAK","Pakistan","","","",""
"PCV",10,2013,0,"PAK","Pakistan","","","",""
"PCV",11,2013,0,"PAK","Pakistan","","","",""
"PCV",12,2013,0,"PAK","Pakistan","","","",""
"PCV",13,2013,0,"PAK","Pakistan","","","",""
"PCV",14,2013,0,"PAK","Pakistan","","","",""
"PCV",15,2013,0,"PAK","Pakistan","","","",""
"PCV",16,2013,0,"PAK","Pakistan","","","",""
"PCV",17,2013,0,"PAK","Pakistan","","","",""
"PCV",18,2013,0,"PAK","Pakistan","","","",""
"PCV",19,2013,0,"PAK","Pakistan","","","",""
"PCV",20,2013,0,"PAK","Pakistan","","","",""
"PCV",1,2014,0,"PAK","Pakistan","","","",""
"PCV",2,2014,0,"PAK","Pakistan","","","",""
"PCV",3,2014,0,"PAK","Pakistan","","","",""
"PCV",4,2014,0,"PAK","Pakistan","","","",""
"PCV",5,2014,0,"PAK","Pakistan","","","",""
"PCV",6,2014,0,"PAK","Pakistan","","","",""
"PCV",7,2014,0,"PAK","Pakistan","","","",""
"PCV",8,2014,0,"PAK","Pakistan","","","",""
"PCV",9,2014,0,"PAK","Pakistan","","","",""
"PCV",10,2014,0,"PAK","Pakistan","","","",""
"PCV",11,2014,0,"PAK","Pakistan","","","",""
"PCV",12,2014,0,"PAK","Pakistan","","","",""
