"disease","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"Measles",2005,5,"PAK","Pakistan","","","",""
"Measles",2006,5,"PAK","Pakistan","","","",""
"Measles",2007,5,"PAK","Pakistan","","","",""
"Measles",2008,5,"PAK","Pakistan","","","",""
"Measles",2009,5,"PAK","Pakistan","","","",""
"Measles",2010,5,"PAK","Pakistan","","","",""
"Measles",2011,5,"PAK","Pakistan","","","",""
"Measles",2012,5,"PAK","Pakistan","","","",""
"Measles",2013,5,"PAK","Pakistan","","","",""
"Measles",2014,5,"PAK","Pakistan","","","",""
"Measles",2015,5,"PAK","Pakistan","","","",""
"Measles",2016,5,"PAK","Pakistan","","","",""
"Measles",2017,5,"PAK","Pakistan","","","",""
"Measles",2018,5,"PAK","Pakistan","","","",""
"Measles",2019,5,"PAK","Pakistan","","","",""
"Measles",2020,5,"PAK","Pakistan","","","",""
"Measles",2021,5,"PAK","Pakistan","","","",""
"Measles",2022,5,"PAK","Pakistan","","","",""
"Measles",2023,5,"PAK","Pakistan","","","",""
"Measles",2024,5,"PAK","Pakistan","","","",""
"Measles",2025,5,"PAK","Pakistan","","","",""
"Measles",2026,5,"PAK","Pakistan","","","",""
"Measles",2027,5,"PAK","Pakistan","","","",""
"Measles",2028,5,"PAK","Pakistan","","","",""
"Measles",2029,5,"PAK","Pakistan","","","",""
"Measles",2030,5,"PAK","Pakistan","","","",""
"Measles",2031,5,"PAK","Pakistan","","","",""
"Measles",2032,5,"PAK","Pakistan","","","",""
"Measles",2033,5,"PAK","Pakistan","","","",""
"Measles",2034,5,"PAK","Pakistan","","","",""
"Measles",2035,5,"PAK","Pakistan","","","",""
"Measles",2036,5,"PAK","Pakistan","","","",""
"Measles",2037,5,"PAK","Pakistan","","","",""
"Measles",2038,5,"PAK","Pakistan","","","",""
"Measles",2039,5,"PAK","Pakistan","","","",""
"Measles",2040,5,"PAK","Pakistan","","","",""
"Measles",2041,5,"PAK","Pakistan","","","",""
"Measles",2042,5,"PAK","Pakistan","","","",""
"Measles",2043,5,"PAK","Pakistan","","","",""
"Measles",2044,5,"PAK","Pakistan","","","",""
"Measles",2045,5,"PAK","Pakistan","","","",""
"Measles",2046,5,"PAK","Pakistan","","","",""
"Measles",2047,5,"PAK","Pakistan","","","",""
"Measles",2048,5,"PAK","Pakistan","","","",""
"Measles",2049,5,"PAK","Pakistan","","","",""
"Measles",2050,5,"PAK","Pakistan","","","",""
"Measles",2051,5,"PAK","Pakistan","","","",""
"Measles",2052,5,"PAK","Pakistan","","","",""
"Measles",2053,5,"PAK","Pakistan","","","",""
"Measles",2054,5,"PAK","Pakistan","","","",""
"Measles",2000,6,"PAK","Pakistan","","","",""
"Measles",2001,6,"PAK","Pakistan","","","",""
"Measles",2002,6,"PAK","Pakistan","","","",""
"Measles",2003,6,"PAK","Pakistan","","","",""
"Measles",2004,6,"PAK","Pakistan","","","",""
"Measles",2005,6,"PAK","Pakistan","","","",""
"Measles",2006,6,"PAK","Pakistan","","","",""
"Measles",2007,6,"PAK","Pakistan","","","",""
"Measles",2008,6,"PAK","Pakistan","","","",""
"Measles",2009,6,"PAK","Pakistan","","","",""
"Measles",2010,6,"PAK","Pakistan","","","",""
"Measles",2011,6,"PAK","Pakistan","","","",""
"Measles",2012,6,"PAK","Pakistan","","","",""
"Measles",2013,6,"PAK","Pakistan","","","",""
"Measles",2014,6,"PAK","Pakistan","","","",""
"Measles",2015,6,"PAK","Pakistan","","","",""
"Measles",2016,6,"PAK","Pakistan","","","",""
"Measles",2017,6,"PAK","Pakistan","","","",""
"Measles",2018,6,"PAK","Pakistan","","","",""
"Measles",2019,6,"PAK","Pakistan","","","",""
"Measles",2020,6,"PAK","Pakistan","","","",""
"Measles",2021,6,"PAK","Pakistan","","","",""
"Measles",2022,6,"PAK","Pakistan","","","",""
"Measles",2023,6,"PAK","Pakistan","","","",""
"Measles",2024,6,"PAK","Pakistan","","","",""
"Measles",2025,6,"PAK","Pakistan","","","",""
"Measles",2026,6,"PAK","Pakistan","","","",""
"Measles",2027,6,"PAK","Pakistan","","","",""
"Measles",2028,6,"PAK","Pakistan","","","",""
"Measles",2029,6,"PAK","Pakistan","","","",""
"Measles",2030,6,"PAK","Pakistan","","","",""
"Measles",2031,6,"PAK","Pakistan","","","",""
"Measles",2032,6,"PAK","Pakistan","","","",""
"Measles",2033,6,"PAK","Pakistan","","","",""
"Measles",2034,6,"PAK","Pakistan","","","",""
"Measles",2035,6,"PAK","Pakistan","","","",""
"Measles",2036,6,"PAK","Pakistan","","","",""
"Measles",2037,6,"PAK","Pakistan","","","",""
"Measles",2038,6,"PAK","Pakistan","","","",""
"Measles",2039,6,"PAK","Pakistan","","","",""
"Measles",2040,6,"PAK","Pakistan","","","",""
"Measles",2041,6,"PAK","Pakistan","","","",""
"Measles",2042,6,"PAK","Pakistan","","","",""
"Measles",2043,6,"PAK","Pakistan","","","",""
"Measles",2044,6,"PAK","Pakistan","","","",""
"Measles",2045,6,"PAK","Pakistan","","","",""
"Measles",2046,6,"PAK","Pakistan","","","",""
"Measles",2047,6,"PAK","Pakistan","","","",""
"Measles",2048,6,"PAK","Pakistan","","","",""
"Measles",2049,6,"PAK","Pakistan","","","",""
"Measles",2050,6,"PAK","Pakistan","","","",""
"Measles",2051,6,"PAK","Pakistan","","","",""
"Measles",2052,6,"PAK","Pakistan","","","",""
"Measles",2053,6,"PAK","Pakistan","","","",""
"Measles",2054,6,"PAK","Pakistan","","","",""
"Measles",2000,7,"PAK","Pakistan","","","",""
"Measles",2001,7,"PAK","Pakistan","","","",""
"Measles",2002,7,"PAK","Pakistan","","","",""
"Measles",2003,7,"PAK","Pakistan","","","",""
"Measles",2004,7,"PAK","Pakistan","","","",""
"Measles",2005,7,"PAK","Pakistan","","","",""
"Measles",2006,7,"PAK","Pakistan","","","",""
"Measles",2007,7,"PAK","Pakistan","","","",""
"Measles",2008,7,"PAK","Pakistan","","","",""
"Measles",2009,7,"PAK","Pakistan","","","",""
"Measles",2010,7,"PAK","Pakistan","","","",""
"Measles",2011,7,"PAK","Pakistan","","","",""
"Measles",2012,7,"PAK","Pakistan","","","",""
"Measles",2013,7,"PAK","Pakistan","","","",""
"Measles",2014,7,"PAK","Pakistan","","","",""
"Measles",2015,7,"PAK","Pakistan","","","",""
"Measles",2016,7,"PAK","Pakistan","","","",""
"Measles",2017,7,"PAK","Pakistan","","","",""
"Measles",2018,7,"PAK","Pakistan","","","",""
"Measles",2019,7,"PAK","Pakistan","","","",""
"Measles",2020,7,"PAK","Pakistan","","","",""
"Measles",2021,7,"PAK","Pakistan","","","",""
"Measles",2022,7,"PAK","Pakistan","","","",""
"Measles",2023,7,"PAK","Pakistan","","","",""
"Measles",2024,7,"PAK","Pakistan","","","",""
"Measles",2025,7,"PAK","Pakistan","","","",""
"Measles",2026,7,"PAK","Pakistan","","","",""
"Measles",2027,7,"PAK","Pakistan","","","",""
"Measles",2028,7,"PAK","Pakistan","","","",""
"Measles",2029,7,"PAK","Pakistan","","","",""
"Measles",2030,7,"PAK","Pakistan","","","",""
"Measles",2031,7,"PAK","Pakistan","","","",""
"Measles",2032,7,"PAK","Pakistan","","","",""
"Measles",2033,7,"PAK","Pakistan","","","",""
"Measles",2034,7,"PAK","Pakistan","","","",""
"Measles",2035,7,"PAK","Pakistan","","","",""
"Measles",2036,7,"PAK","Pakistan","","","",""
"Measles",2037,7,"PAK","Pakistan","","","",""
"Measles",2038,7,"PAK","Pakistan","","","",""
"Measles",2039,7,"PAK","Pakistan","","","",""
"Measles",2040,7,"PAK","Pakistan","","","",""
"Measles",2041,7,"PAK","Pakistan","","","",""
"Measles",2042,7,"PAK","Pakistan","","","",""
"Measles",2043,7,"PAK","Pakistan","","","",""
"Measles",2044,7,"PAK","Pakistan","","","",""
"Measles",2045,7,"PAK","Pakistan","","","",""
"Measles",2046,7,"PAK","Pakistan","","","",""
"Measles",2047,7,"PAK","Pakistan","","","",""
"Measles",2048,7,"PAK","Pakistan","","","",""
"Measles",2049,7,"PAK","Pakistan","","","",""
"Measles",2050,7,"PAK","Pakistan","","","",""
"Measles",2051,7,"PAK","Pakistan","","","",""
"Measles",2052,7,"PAK","Pakistan","","","",""
"Measles",2053,7,"PAK","Pakistan","","","",""
"Measles",2054,7,"PAK","Pakistan","","","",""
"Measles",2000,8,"PAK","Pakistan","","","",""
"Measles",2001,8,"PAK","Pakistan","","","",""
"Measles",2002,8,"PAK","Pakistan","","","",""
"Measles",2003,8,"PAK","Pakistan","","","",""
"Measles",2004,8,"PAK","Pakistan","","","",""
"Measles",2005,8,"PAK","Pakistan","","","",""
"Measles",2006,8,"PAK","Pakistan","","","",""
"Measles",2007,8,"PAK","Pakistan","","","",""
"Measles",2008,8,"PAK","Pakistan","","","",""
"Measles",2009,8,"PAK","Pakistan","","","",""
"Measles",2010,8,"PAK","Pakistan","","","",""
"Measles",2011,8,"PAK","Pakistan","","","",""
"Measles",2012,8,"PAK","Pakistan","","","",""
"Measles",2013,8,"PAK","Pakistan","","","",""
"Measles",2014,8,"PAK","Pakistan","","","",""
"Measles",2015,8,"PAK","Pakistan","","","",""
"Measles",2016,8,"PAK","Pakistan","","","",""
"Measles",2017,8,"PAK","Pakistan","","","",""
"Measles",2018,8,"PAK","Pakistan","","","",""
"Measles",2019,8,"PAK","Pakistan","","","",""
"Measles",2020,8,"PAK","Pakistan","","","",""
"Measles",2021,8,"PAK","Pakistan","","","",""
"Measles",2022,8,"PAK","Pakistan","","","",""
"Measles",2023,8,"PAK","Pakistan","","","",""
"Measles",2024,8,"PAK","Pakistan","","","",""
"Measles",2025,8,"PAK","Pakistan","","","",""
"Measles",2026,8,"PAK","Pakistan","","","",""
"Measles",2027,8,"PAK","Pakistan","","","",""
"Measles",2028,8,"PAK","Pakistan","","","",""
"Measles",2029,8,"PAK","Pakistan","","","",""
"Measles",2030,8,"PAK","Pakistan","","","",""
"Measles",2031,8,"PAK","Pakistan","","","",""
"Measles",2032,8,"PAK","Pakistan","","","",""
"Measles",2033,8,"PAK","Pakistan","","","",""
"Measles",2034,8,"PAK","Pakistan","","","",""
"Measles",2035,8,"PAK","Pakistan","","","",""
"Measles",2036,8,"PAK","Pakistan","","","",""
"Measles",2037,8,"PAK","Pakistan","","","",""
"Measles",2038,8,"PAK","Pakistan","","","",""
"Measles",2039,8,"PAK","Pakistan","","","",""
"Measles",2040,8,"PAK","Pakistan","","","",""
"Measles",2041,8,"PAK","Pakistan","","","",""
"Measles",2042,8,"PAK","Pakistan","","","",""
"Measles",2043,8,"PAK","Pakistan","","","",""
"Measles",2044,8,"PAK","Pakistan","","","",""
"Measles",2045,8,"PAK","Pakistan","","","",""
"Measles",2046,8,"PAK","Pakistan","","","",""
"Measles",2047,8,"PAK","Pakistan","","","",""
"Measles",2048,8,"PAK","Pakistan","","","",""
"Measles",2049,8,"PAK","Pakistan","","","",""
"Measles",2050,8,"PAK","Pakistan","","","",""
"Measles",2051,8,"PAK","Pakistan","","","",""
"Measles",2052,8,"PAK","Pakistan","","","",""
"Measles",2053,8,"PAK","Pakistan","","","",""
"Measles",2054,8,"PAK","Pakistan","","","",""
"Measles",2000,9,"PAK","Pakistan","","","",""
"Measles",2001,9,"PAK","Pakistan","","","",""
"Measles",2002,9,"PAK","Pakistan","","","",""
"Measles",2003,9,"PAK","Pakistan","","","",""
"Measles",2004,9,"PAK","Pakistan","","","",""
"Measles",2005,9,"PAK","Pakistan","","","",""
"Measles",2006,9,"PAK","Pakistan","","","",""
"Measles",2007,9,"PAK","Pakistan","","","",""
"Measles",2008,9,"PAK","Pakistan","","","",""
"Measles",2009,9,"PAK","Pakistan","","","",""
"Measles",2010,9,"PAK","Pakistan","","","",""
"Measles",2011,9,"PAK","Pakistan","","","",""
"Measles",2012,9,"PAK","Pakistan","","","",""
"Measles",2013,9,"PAK","Pakistan","","","",""
"Measles",2014,9,"PAK","Pakistan","","","",""
"Measles",2015,9,"PAK","Pakistan","","","",""
"Measles",2016,9,"PAK","Pakistan","","","",""
"Measles",2017,9,"PAK","Pakistan","","","",""
"Measles",2018,9,"PAK","Pakistan","","","",""
"Measles",2019,9,"PAK","Pakistan","","","",""
"Measles",2020,9,"PAK","Pakistan","","","",""
"Measles",2021,9,"PAK","Pakistan","","","",""
"Measles",2022,9,"PAK","Pakistan","","","",""
"Measles",2023,9,"PAK","Pakistan","","","",""
"Measles",2024,9,"PAK","Pakistan","","","",""
"Measles",2025,9,"PAK","Pakistan","","","",""
"Measles",2026,9,"PAK","Pakistan","","","",""
"Measles",2027,9,"PAK","Pakistan","","","",""
"Measles",2028,9,"PAK","Pakistan","","","",""
"Measles",2029,9,"PAK","Pakistan","","","",""
"Measles",2030,9,"PAK","Pakistan","","","",""
"Measles",2031,9,"PAK","Pakistan","","","",""
"Measles",2032,9,"PAK","Pakistan","","","",""
"Measles",2033,9,"PAK","Pakistan","","","",""
"Measles",2034,9,"PAK","Pakistan","","","",""
"Measles",2035,9,"PAK","Pakistan","","","",""
"Measles",2036,9,"PAK","Pakistan","","","",""
"Measles",2037,9,"PAK","Pakistan","","","",""
"Measles",2038,9,"PAK","Pakistan","","","",""
